SubjectID,Condition,TravelType,Level,Pass,ResponseTime,#InitIncorrectSwitch,#InitIncorrectWalking,#InitIncorrectSegway,#InitIncorrectSurfing,#IncorrectSwitch,#IncorrectWalking,#IncorrectSegway,#IncorrectSurfing
20,0,0,3,1,1.561462,0,0,0,0,0,0,0,0
20,0,1,3,0,2.538605,0,0,0,0,0,0,0,0
20,0,1,3,1,2.422302,0,0,0,0,0,0,0,0
20,0,2,3,0,1.059387,0,0,0,0,0,0,0,0
20,0,2,3,1,3.643494,0,0,0,0,0,0,0,0
22,0,0,1,0,0.6201019,0,0,0,0,0,0,0,0
22,0,0,1,1,1.721741,0,0,0,0,0,0,0,0
22,0,1,1,0,0.7801056,0,0,0,0,0,0,0,0
22,0,1,1,1,1.181213,0,0,0,0,0,0,0,0
22,0,2,1,0,0.7995911,0,0,0,0,0,0,0,0
22,0,2,1,1,5.237091,0,0,0,0,0,0,0,0
22,0,0,2,0,1.400299,0,0,0,0,0,0,0,0
22,0,0,2,1,0.9008789,0,0,0,0,0,0,0,0
22,0,1,2,0,1.840393,0,0,0,0,0,0,0,0
22,0,1,2,1,1.241211,0,0,0,0,0,0,0,0
22,0,2,2,0,1.139404,0,0,0,0,0,0,0,0
22,0,2,2,1,1.061096,0,0,0,0,0,0,0,0
22,0,0,3,0,1.600296,0,0,0,0,0,0,0,0
22,0,0,3,1,0.8007813,0,0,0,0,0,0,0,0
22,0,1,3,0,1.559204,0,0,0,0,0,0,0,0
22,0,1,3,1,1.379211,0,0,0,0,0,0,0,0
22,0,2,3,0,0.9594116,0,0,0,0,0,0,0,0
22,0,2,3,1,0.5604858,0,0,0,0,0,0,0,0
23,1,0,1,0,0.8607788,0,0,0,0,0,0,0,0
23,1,0,1,1,1.041016,0,0,0,0,0,0,0,0
23,1,1,1,0,3.283203,4,4,0,0,17,17,0,0
23,1,1,1,1,1.442017,1,1,0,0,0,0,0,0
23,1,2,1,0,1.080933,10,10,0,0,5,5,0,0
23,1,2,1,1,1.340942,2,2,0,0,3,3,0,0
23,1,0,2,0,0.8607788,0,0,0,0,0,0,0,0
23,1,0,2,1,0.9210205,0,0,0,0,0,0,0,0
23,1,1,2,0,1.421387,1,1,0,0,56,56,0,0
23,1,1,2,1,1.64209,4,4,0,0,236,236,0,0
23,1,2,2,0,2.503052,14,14,0,0,0,0,0,0
23,1,2,2,1,1.760986,0,0,0,0,0,0,0,0
23,1,0,3,0,1.641602,0,0,0,0,0,0,0,0
23,1,0,3,1,0.5200195,0,0,0,0,0,0,0,0
23,1,1,3,0,1.501465,1,1,0,0,154,154,0,0
23,1,1,3,1,1.562012,1,1,0,0,214,214,0,0
23,1,2,3,0,2.50238,4,4,0,0,2,2,0,0
23,1,2,3,1,2.241943,6,6,0,0,0,0,0,0
24,0,0,1,0,1.61908,0,0,0,0,0,0,0,0
24,0,0,1,1,1.041016,0,0,0,0,0,0,0,0
24,0,1,1,0,7.4216,0,0,0,0,0,0,0,0
24,0,1,1,1,2.262207,0,0,0,0,0,0,0,0
24,0,2,1,0,2.59848,0,0,0,0,0,0,0,0
